Location,Unit,Disturbance,Transect,Plot,OAKcount
Bartlett Experimental Forest,45C,C,1,55,0
Bartlett Experimental Forest,45C,C,1,65,0
Bartlett Experimental Forest,45C,C,1,75,0
Bartlett Experimental Forest,45C,C,2,15,0
Bartlett Experimental Forest,45C,C,2,25,0
Bartlett Experimental Forest,45C,C,2,35,0
Bartlett Experimental Forest,45C,C,2,45,0
Bartlett Experimental Forest,45C,C,2,5,0
Crawford Notch State Park,NA,B,1,15,0
Crawford Notch State Park,NA,B,1,25,0
Crawford Notch State Park,NA,B,1,35,0
Crawford Notch State Park,NA,B,1,45,0
Crawford Notch State Park,NA,B,1,5,1
Crawford Notch State Park,NA,B,1,55,0
Crawford Notch State Park,NA,B,1,65,0
Crawford Notch State Park,NA,B,1,75,0
Crawford Notch State Park,NA,B,1,85,0
Crawford Notch State Park,NA,B,1,95,0
Crawford Notch State Park,NA,B,1,105,0
Crawford Notch State Park,NA,B,1,115,0
Crawford Notch State Park,NA,B,1,125,0
Crawford Notch State Park,NA,B,1,135,0
Crawford Notch State Park,NA,B,1,145,0
Crawford Notch State Park,NA,B,1,155,0
Crawford Notch State Park,NA,B,1,165,0
Crawford Notch State Park,NA,B,1,175,0
Crawford Notch State Park,NA,B,1,185,0
Crawford Notch State Park,NA,B,1,195,0
Crawford Notch State Park,NA,B,2,15,0
Crawford Notch State Park,NA,B,2,25,0
Crawford Notch State Park,NA,B,2,35,0
Crawford Notch State Park,NA,B,2,45,0
Crawford Notch State Park,NA,B,2,5,0
Crawford Notch State Park,NA,B,3,15,0
Crawford Notch State Park,NA,B,3,25,0
Crawford Notch State Park,NA,B,3,35,0
Crawford Notch State Park,NA,B,3,45,0
Crawford Notch State Park,NA,B,3,5,0
Crawford Notch State Park,NA,B,3,55,0
Crawford Notch State Park,NA,B,3,65,0
Crawford Notch State Park,NA,B,3,75,0
Crawford Notch State Park,NA,B,4,15,0
Crawford Notch State Park,NA,B,4,25,0
Crawford Notch State Park,NA,B,4,35,0
Crawford Notch State Park,NA,B,4,45,0
Crawford Notch State Park,NA,B,4,5,0
Crawford Notch State Park,NA,B,4,55,0
Crawford Notch State Park,NA,B,4,65,0
Crawford Notch State Park,NA,B,4,75,0
Crawford Notch State Park,NA,B,4,85,0
Crawford Notch State Park,NA,B,4,95,0
Crawford Notch State Park,NA,C,1,15,0
Crawford Notch State Park,NA,C,1,25,0
