Location,Unit,Disturbance,Transect,Plot,Spcode,Count
CF,NA,C,2,35,FAGR,1
CF,NA,C,2,45,FAGR,1
CF,NA,C,2,85,OSVI,1
HOG,20/2,B,1,5,BEAL,6
HOG,20/2,B,1,5,ACRU,12
HOG,20/2,B,1,5,MACA,20
HOG,20/2,B,1,5,RUS,2
HOG,20/2,B,1,5,CAR,1
HOG,20/2,B,1,5,UNK,1
HOG,20/2,B,1,5,BEPA,1
HOG,20/2,B,1,5,FRAM,9
HOG,20/2,B,1,15,FAGR,1
HOG,20/2,B,1,15,ACRU,4
HOG,20/2,B,1,15,TRBO,3
HOG,20/2,B,1,15,MACA,10
HOG,20/2,B,1,15,UVSE,7
HOG,20/2,B,1,15,RUS,1
HOG,20/2,B,1,15,CAR,3
HOG,20/2,B,1,25,ACPE,1
HOG,20/2,B,1,25,FAGR,1
HOG,20/2,B,1,25,UVSE,20
HOG,20/2,B,1,25,MACA,20
HOG,20/2,B,1,25,DIDI,12
HOG,20/2,B,1,35,DIDI,2
HOG,20/2,B,1,35,UVSE,20
HOG,20/2,B,1,35,RUS,4
HOG,20/2,B,1,35,TRBO,1
HOG,20/2,B,1,35,ACRU,2
HOG,20/2,B,1,35,BEAL,2
HOG,20/2,B,1,35,FAGR,1
HOG,20/2,B,1,45,FAGR,3
HOG,20/2,B,1,45,ACRU,1
HOG,20/2,B,1,45,MACA,20
HOG,20/2,B,1,45,RUS,5
HOG,20/2,B,1,45,UVSE,20
HOG,20/2,B,1,45,BEAL,1
HOG,20/2,B,1,55,DIDI,5
HOG,20/2,B,1,55,ACRU,5
HOG,20/2,B,1,55,UVSE,20
HOG,20/2,B,1,55,TRBO,4
HOG,20/2,B,1,55,ACPE,3
HOG,20/2,B,1,55,MACA,20
HOG,20/2,B,1,65,RUS,4
HOG,20/2,B,1,65,ACRU,4
HOG,20/2,B,1,65,BEAL,2
HOG,20/2,B,1,65,FRAM,5
HOG,20/2,B,1,65,TRBO,7
HOG,20/2,B,1,65,ACPE,2
HOG,20/2,B,1,75,TRBO,20
HOG,20/2,B,1,75,UVSE,20
HOG,20/2,B,1,75,CAR,1
HOG,20/2,B,1,75,RUS,3
HOG,20/2,B,1,75,BEAL,6
HOG,20/2,B,1,75,BEPA,2
HOG,20/2,B,1,75,ACRU,3
HOG,20/2,B,1,75,MACA,7
HOG,20/2,B,1,75,ACPE,2
HOG,20/2,B,1,S,RUS,1
HOG,20/2,B,1,85,FAGR,3
HOG,20/2,B,1,85,TRBO,20
HOG,20/2,B,1,85,ACRU,3
HOG,20/2,B,1,85,ACPE,2
HOG,20/2,B,1,85,MACA,20
